,i,j,origin_x,origin_y,dest_x,dest_y
2765,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2766,23,36,-46.39130000000001,-23.4814,-46.39130000000001,-23.496400000000005
2767,24,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.4814
2768,23,36,-46.39130000000001,-23.4814,-46.40630000000001,-23.496400000000005
2769,24,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.4814
2770,23,35,-46.39130000000001,-23.4814,-46.40630000000001,-23.496400000000005
2771,24,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.4814
2772,23,35,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.511399999999995
2773,23,36,-46.39130000000001,-23.511399999999995,-46.421299999999995,-23.496400000000005
2774,22,36,-46.421299999999995,-23.496400000000005,-46.421299999999995,-23.496400000000005
2775,23,34,-46.421299999999995,-23.496400000000005,-46.421299999999995,-23.496400000000005
2776,23,34,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.511399999999995
2777,23,34,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.511399999999995
2778,23,36,-46.4213,-23.511399999999995,-46.421299999999995,-23.496400000000005
2779,22,36,-46.421299999999995,-23.496400000000005,-46.4213,-23.511399999999995
2780,23,34,-46.421299999999995,-23.496400000000005,-46.4213,-23.511399999999995
2781,23,34,-46.586299999999994,-23.526399999999995,-46.601299999999995,-23.511399999999995
2782,21,34,-46.601299999999995,-23.511399999999995,-46.586299999999994,-23.526399999999995
2783,22,22,-46.586299999999994,-23.526399999999995,-46.6313,-23.511399999999995
2784,21,23,-46.586299999999994,-23.526399999999995,-46.6313,-23.511399999999995
2785,21,20,-46.4213,-23.511399999999995,-46.466300000000004,-23.5564
2786,22,20,-46.436299999999996,-23.496400000000005,-46.40630000000001,-23.526399999999995
2787,23,31,-46.39130000000001,-23.511399999999995,-46.4363,-23.511399999999995
2788,22,35,-46.4363,-23.511399999999995,-46.4213,-23.511399999999995
2789,22,33,-46.4363,-23.511399999999995,-46.4213,-23.511399999999995
2790,22,34,-46.4363,-23.511399999999995,-46.4213,-23.511399999999995
2791,22,34,-46.5413,-23.571399999999997,-46.5413,-23.571399999999997
2792,18,34,-46.4213,-23.5264,-46.466300000000004,-23.496400000000005
2793,21,26,-46.466300000000004,-23.5414,-46.4213,-23.541399999999996
2794,20,31,-46.39130000000001,-23.5414,-46.37630000000001,-23.5414
2795,20,34,-46.36130000000001,-23.511399999999995,-46.39130000000001,-23.496400000000005
2796,22,37,-46.39130000000001,-23.496400000000005,-46.36130000000001,-23.511399999999995
2797,23,36,-46.37630000000001,-23.511399999999995,-46.36130000000001,-23.511399999999995
2798,22,38,-46.37630000000001,-23.511399999999995,-46.39130000000001,-23.496400000000005
2799,22,38,-46.39130000000001,-23.496400000000005,-46.37630000000001,-23.511399999999995
2800,23,36,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.511399999999995
2801,23,37,-46.39130000000001,-23.496400000000005,-46.39130000000001,-23.511399999999995
2802,23,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2803,23,36,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.511399999999995
2804,23,35,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.511399999999995
2805,23,36,-46.40630000000001,-23.511399999999995,-46.4513,-23.511399999999995
2806,22,36,-46.4513,-23.511399999999995,-46.40630000000001,-23.511399999999995
2807,22,32,-46.39130000000001,-23.496400000000005,-46.421299999999995,-23.496400000000005
2808,23,35,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.496400000000005
2809,23,34,-46.39130000000001,-23.496400000000005,-46.421299999999995,-23.496400000000005
2810,23,36,-46.421299999999995,-23.496400000000005,-46.39130000000001,-23.496400000000005
2811,23,34,-46.481300000000005,-23.511399999999995,-46.481300000000005,-23.526399999999995
2812,22,36,-46.39130000000001,-23.496400000000005,-46.40630000000001,-23.496400000000005
2813,23,30,-46.40630000000001,-23.496400000000005,-46.39130000000001,-23.496400000000005
2814,23,35,-46.5563,-23.541399999999996,-46.5413,-23.5414
2815,20,36,-46.5413,-23.5414,-46.5413,-23.5414
2816,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2817,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2818,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2819,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2820,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2821,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2822,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2823,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2824,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2825,20,26,-46.5413,-23.5414,-46.5413,-23.5414
2826,20,26,-46.5563,-23.541399999999996,-46.5413,-23.5414
2827,20,26,-46.5563,-23.541399999999996,-46.5413,-23.5414
2828,20,26,-46.571299999999994,-23.5414,-46.5563,-23.541399999999996
